,Unnamed: 0,Pump price in pence/litre (ULSP),Pump price in pence/litre (ULSD),Duty rate in pence/litre (ULSP),Duty rate in pence/litre (ULSD),VAT percentage rate (ULSP),VAT percentage rate (ULSD),Year
0,2,74.59,76.77,45.82,45.82,17.5,17.5,2003
1,3,74.47,76.69,45.82,45.82,17.5,17.5,2003
2,4,74.42,76.62,45.82,45.82,17.5,17.5,2003
3,5,74.35,76.51,45.82,45.82,17.5,17.5,2003
4,6,74.28,76.46,45.82,45.82,17.5,17.5,2003
5,7,74.21,76.41,45.82,45.82,17.5,17.5,2003
6,8,75.07,76.9,45.82,45.82,17.5,17.5,2003
7,9,75.1,76.86,45.82,45.82,17.5,17.5,2003
8,10,75.12,76.81,45.82,45.82,17.5,17.5,2003
9,11,75.44,77.08,45.82,45.82,17.5,17.5,2003
10,12,75.81,77.44,45.82,45.82,17.5,17.5,2003
11,13,76.05,77.68,45.82,45.82,17.5,17.5,2003
12,14,76.13,77.59,45.82,45.82,17.5,17.5,2003
13,15,76.23,77.67,45.82,45.82,17.5,17.5,2003
14,16,76.2,77.63,45.82,45.82,17.5,17.5,2003
15,17,76.15,77.55,45.82,45.82,17.5,17.5,2003
16,18,76.08,77.53,45.82,45.82,17.5,17.5,2003
17,19,76.43,77.66,47.1,47.1,17.5,17.5,2003
18,20,75.9,77.43,47.1,47.1,17.5,17.5,2003
19,21,76.05,77.54,47.1,47.1,17.5,17.5,2003
20,22,76.0,77.51,47.1,47.1,17.5,17.5,2003
21,23,76.0,77.52,47.1,47.1,17.5,17.5,2003
22,24,75.94,77.47,47.1,47.1,17.5,17.5,2003
23,25,75.93,77.52,47.1,47.1,17.5,17.5,2003
24,26,76.02,77.67,47.1,47.1,17.5,17.5,2003
25,27,76.0,77.66,47.1,47.1,17.5,17.5,2003
26,28,75.97,77.63,47.1,47.1,17.5,17.5,2003
27,29,75.96,77.62,47.1,47.1,17.5,17.5,2003
28,30,75.92,77.61,47.1,47.1,17.5,17.5,2003
29,31,75.94,77.6,47.1,47.1,17.5,17.5,2003
30,32,75.88,77.54,47.1,47.1,17.5,17.5,2004
31,33,75.9,77.54,47.1,47.1,17.5,17.5,2004
32,34,76.36,78.06,47.1,47.1,17.5,17.5,2004
33,35,76.44,78.08,47.1,47.1,17.5,17.5,2004
34,36,76.48,78.13,47.1,47.1,17.5,17.5,2004
35,37,76.5,77.98,47.1,47.1,17.5,17.5,2004
36,38,76.44,78.0,47.1,47.1,17.5,17.5,2004
37,39,76.38,77.93,47.1,47.1,17.5,17.5,2004
38,40,76.32,77.87,47.1,47.1,17.5,17.5,2004
39,41,76.73,78.25,47.1,47.1,17.5,17.5,2004
40,42,77.39,78.8,47.1,47.1,17.5,17.5,2004
41,43,77.44,78.92,47.1,47.1,17.5,17.5,2004
42,44,77.59,79.01,47.1,47.1,17.5,17.5,2004
43,45,77.86,79.23,47.1,47.1,17.5,17.5,2004
44,46,77.88,79.27,47.1,47.1,17.5,17.5,2004
45,47,78.04,79.43,47.1,47.1,17.5,17.5,2004
46,48,78.4,79.75,47.1,47.1,17.5,17.5,2004
47,49,79.28,80.64,47.1,47.1,17.5,17.5,2004
48,50,80.3,81.68,47.1,47.1,17.5,17.5,2004
49,51,81.49,82.83,47.1,47.1,17.5,17.5,2004
50,52,82.13,83.48,47.1,47.1,17.5,17.5,2004
51,53,82.35,83.61,47.1,47.1,17.5,17.5,2004
52,54,82.44,83.65,47.1,47.1,17.5,17.5,2004
53,55,81.54,82.6,47.1,47.1,17.5,17.5,2004
54,56,81.04,82.09,47.1,47.1,17.5,17.5,2004
55,57,80.41,81.04,47.1,47.1,17.5,17.5,2004
56,58,79.87,80.51,47.1,47.1,17.5,17.5,2004
57,59,80.34,81.05,47.1,47.1,17.5,17.5,2004
58,60,80.84,81.68,47.1,47.1,17.5,17.5,2004
59,61,80.87,81.7,47.1,47.1,17.5,17.5,2004
60,62,80.86,81.79,47.1,47.1,17.5,17.5,2004
61,63,81.18,82.14,47.1,47.1,17.5,17.5,2004
62,64,81.25,82.33,47.1,47.1,17.5,17.5,2004
63,65,81.51,82.82,47.1,47.1,17.5,17.5,2004
64,66,81.53,82.89,47.1,47.1,17.5,17.5,2004
65,67,81.37,82.92,47.1,47.1,17.5,17.5,2004
66,68,81.31,82.91,47.1,47.1,17.5,17.5,2004
67,69,81.28,83.03,47.1,47.1,17.5,17.5,2004
68,70,81.63,83.46,47.1,47.1,17.5,17.5,2004
69,71,82.05,83.84,47.1,47.1,17.5,17.5,2004
70,72,83.11,85.01,47.1,47.1,17.5,17.5,2004
71,73,83.35,85.34,47.1,47.1,17.5,17.5,2004
72,74,83.94,86.03,47.1,47.1,17.5,17.5,2004
73,75,84.27,86.42,47.1,47.1,17.5,17.5,2004
74,76,84.34,86.54,47.1,47.1,17.5,17.5,2004
75,77,84.26,86.42,47.1,47.1,17.5,17.5,2004
76,78,81.46,85.17,47.1,47.1,17.5,17.5,2004
77,79,84.17,86.36,47.1,47.1,17.5,17.5,2004
78,80,84.06,86.4,47.1,47.1,17.5,17.5,2004
79,81,82.73,85.98,47.1,47.1,17.5,17.5,2004
80,82,81.46,85.17,47.1,47.1,17.5,17.5,2004
81,83,81.2,85.14,47.1,47.1,17.5,17.5,2004
82,84,81.17,85.12,47.1,47.1,17.5,17.5,2005
83,85,79.84,84.87,47.1,47.1,17.5,17.5,2005
84,86,78.93,83.94,47.1,47.1,17.5,17.5,2005
85,87,78.93,83.87,47.1,47.1,17.5,17.5,2005
86,88,79.54,84.23,47.1,47.1,17.5,17.5,2005
87,89,79.84,84.27,47.1,47.1,17.5,17.5,2005
88,90,80.03,84.32,47.1,47.1,17.5,17.5,2005
89,91,80.15,84.36,47.1,47.1,17.5,17.5,2005
90,92,80.45,84.65,47.1,47.1,17.5,17.5,2005
91,93,81.16,85.64,47.1,47.1,17.5,17.5,2005
92,94,81.64,86.11,47.1,47.1,17.5,17.5,2005
93,95,82.7,87.06,47.1,47.1,17.5,17.5,2005
94,96,83.4,87.68,47.1,47.1,17.5,17.5,2005
95,97,83.91,88.3,47.1,47.1,17.5,17.5,2005
96,98,85.61,89.82,47.1,47.1,17.5,17.5,2005
97,99,85.63,89.8,47.1,47.1,17.5,17.5,2005
98,100,85.51,89.62,47.1,47.1,17.5,17.5,2005
99,101,85.44,89.3,47.1,47.1,17.5,17.5,2005
100,102,85.36,89.46,47.1,47.1,17.5,17.5,2005
101,103,85.27,89.4,47.1,47.1,17.5,17.5,2005
102,104,84.77,89.0,47.1,47.1,17.5,17.5,2005
103,105,84.18,88.39,47.1,47.1,17.5,17.5,2005
104,106,84.01,88.23,47.1,47.1,17.5,17.5,2005
105,107,84.99,88.96,47.1,47.1,17.5,17.5,2005
106,108,85.52,89.54,47.1,47.1,17.5,17.5,2005
107,109,86.73,90.27,47.1,47.1,17.5,17.5,2005
108,110,87.49,91.0,47.1,47.1,17.5,17.5,2005
109,111,87.73,91.89,47.1,47.1,17.5,17.5,2005
110,112,88.55,92.67,47.1,47.1,17.5,17.5,2005
111,113,89.0,93.03,47.1,47.1,17.5,17.5,2005
112,114,89.25,93.26,47.1,47.1,17.5,17.5,2005
113,115,89.67,93.63,47.1,47.1,17.5,17.5,2005
114,116,90.56,94.5,47.1,47.1,17.5,17.5,2005
115,117,90.77,94.68,47.1,47.1,17.5,17.5,2005
116,118,91.42,95.33,47.1,47.1,17.5,17.5,2005
117,119,94.37,97.19,47.1,47.1,17.5,17.5,2005
118,120,95.07,97.89,47.1,47.1,17.5,17.5,2005
119,121,94.41,97.32,47.1,47.1,17.5,17.5,2005
120,122,93.33,96.27,47.1,47.1,17.5,17.5,2005
121,123,93.51,96.61,47.1,47.1,17.5,17.5,2005
122,124,94.25,97.05,47.1,47.1,17.5,17.5,2005
123,125,94.14,97.0,47.1,47.1,17.5,17.5,2005
124,126,93.47,96.8,47.1,47.1,17.5,17.5,2005
125,127,92.79,96.57,47.1,47.1,17.5,17.5,2005
126,128,92.47,96.59,47.1,47.1,17.5,17.5,2005
127,129,90.53,94.92,47.1,47.1,17.5,17.5,2005
128,130,88.61,93.22,47.1,47.1,17.5,17.5,2005
129,131,87.35,91.8,47.1,47.1,17.5,17.5,2005
130,132,87.35,91.8,47.1,47.1,17.5,17.5,2005
131,133,87.2,91.48,47.1,47.1,17.5,17.5,2005
132,134,87.56,91.83,47.1,47.1,17.5,17.5,2005
133,135,87.88,92.12,47.1,47.1,17.5,17.5,2005
134,136,88.03,92.27,47.1,47.1,17.5,17.5,2006
135,137,88.56,92.94,47.1,47.1,17.5,17.5,2006
136,138,89.01,93.19,47.1,47.1,17.5,17.5,2006
137,139,89.55,93.62,47.1,47.1,17.5,17.5,2006
138,140,89.88,93.93,47.1,47.1,17.5,17.5,2006
139,141,89.73,93.85,47.1,47.1,17.5,17.5,2006
140,142,89.65,93.77,47.1,47.1,17.5,17.5,2006
141,143,89.6,93.75,47.1,47.1,17.5,17.5,2006
142,144,89.51,93.69,47.1,47.1,17.5,17.5,2006
143,145,89.37,93.63,47.1,47.1,17.5,17.5,2006
144,146,89.55,93.85,47.1,47.1,17.5,17.5,2006
145,147,90.19,94.42,47.1,47.1,17.5,17.5,2006
146,148,91.16,94.95,47.1,47.1,17.5,17.5,2006
147,149,91.78,95.64,47.1,47.1,17.5,17.5,2006
148,150,92.77,96.4,47.1,47.1,17.5,17.5,2006
149,151,94.23,97.64,47.1,47.1,17.5,17.5,2006
150,152,95.35,98.5,47.1,47.1,17.5,17.5,2006
151,153,96.13,98.9,47.1,47.1,17.5,17.5,2006
152,154,96.46,98.9,47.1,47.1,17.5,17.5,2006
153,155,96.39,98.74,47.1,47.1,17.5,17.5,2006
154,156,96.1,98.5,47.1,47.1,17.5,17.5,2006
155,157,95.36,97.69,47.1,47.1,17.5,17.5,2006
156,158,95.24,97.55,47.1,47.1,17.5,17.5,2006
157,159,95.49,97.75,47.1,47.1,17.5,17.5,2006
158,160,95.44,97.77,47.1,47.1,17.5,17.5,2006
159,161,94.97,97.36,47.1,47.1,17.5,17.5,2006
160,162,95.27,97.6,47.1,47.1,17.5,17.5,2006
161,163,95.69,97.99,47.1,47.1,17.5,17.5,2006
162,164,96.88,98.74,47.1,47.1,17.5,17.5,2006
163,165,97.78,99.41,47.1,47.1,17.5,17.5,2006
164,166,97.83,99.41,47.1,47.1,17.5,17.5,2006
165,167,98.05,99.57,47.1,47.1,17.5,17.5,2006
166,168,97.82,99.45,47.1,47.1,17.5,17.5,2006
167,169,95.74,97.93,47.1,47.1,17.5,17.5,2006
168,170,94.4,96.67,47.1,47.1,17.5,17.5,2006
169,171,92.88,95.92,47.1,47.1,17.5,17.5,2006
170,172,91.48,95.34,47.1,47.1,17.5,17.5,2006
171,173,89.78,94.95,47.1,47.1,17.5,17.5,2006
172,174,88.2,93.51,47.1,47.1,17.5,17.5,2006
173,175,86.95,92.13,47.1,47.1,17.5,17.5,2006
174,176,86.6,91.74,47.1,47.1,17.5,17.5,2006
175,177,85.91,91.59,47.1,47.1,17.5,17.5,2006
176,178,85.74,91.22,47.1,47.1,17.5,17.5,2006
177,179,85.6,91.17,47.1,47.1,17.5,17.5,2006
178,180,85.54,91.12,47.1,47.1,17.5,17.5,2006
179,181,85.49,91.15,47.1,47.1,17.5,17.5,2006
180,182,85.45,91.17,47.1,47.1,17.5,17.5,2006
181,183,85.47,91.17,47.1,47.1,17.5,17.5,2006
182,184,85.46,91.5,47.1,47.1,17.5,17.5,2006
183,185,87.44,92.96,48.35,48.35,17.5,17.5,2006
184,186,87.7,93.26,48.35,48.35,17.5,17.5,2006
185,187,87.9,93.41,48.35,48.35,17.5,17.5,2006
186,188,87.85,93.4,48.35,48.35,17.5,17.5,2007
187,189,87.66,93.11,48.35,48.35,17.5,17.5,2007
188,190,87.1,91.55,48.35,48.35,17.5,17.5,2007
189,191,86.28,90.45,48.35,48.35,17.5,17.5,2007
190,192,85.66,89.7,48.35,48.35,17.5,17.5,2007
